product_id,product_name,category,model_series,description,key_features,target_department,certifications,competitive_advantages
GE-MRI-001,SIGNA Premier,MRI,SIGNA,3.0T超高端磁共振成像系统，搭载AIR技术平台，提供卓越的图像质量和临床性能,AIR Coil轻柔线圈技术;AIR Recon DL深度学习重建;SIGNA Works AI智能工作流;72cm大孔径;HyperBand多频带并行采集,放射科;神经内科;骨科;心内科,NMPA三类医疗器械注册;FDA 510(k);CE认证,AIR Coil线圈重量减轻最高达60%提升患者舒适度;AIR Recon DL可提升SNR最高2倍;全身多部位一站式扫描;业界领先的3.0T临床应用平台
GE-MRI-002,SIGNA Artist,MRI,SIGNA,1.5T高端磁共振成像系统，兼顾高图像质量与运营效率,AIR Coil轻柔线圈;AIR Recon DL深度学习重建;SilentScan静音扫描;MAGiC一次扫描多对比度;TDI组织弥散成像,放射科;神经内科;骨科,NMPA三类医疗器械注册;FDA 510(k);CE认证,SilentScan噪音降低最高97%;MAGiC一次扫描生成8种对比度;1.5T性价比最优选择;AI驱动的高效工作流
GE-MRI-003,SIGNA Explorer,MRI,SIGNA,1.5T经济实用型磁共振成像系统，适合基层医疗机构,SilentScan静音扫描;FOCUS优化的序列方案;OpTIx光纤RF技术;紧凑型设计占地面积小;自动化扫描工作流,放射科;体检中心,NMPA三类医疗器械注册;FDA 510(k);CE认证,紧凑设计适合空间有限的机房;较低运营成本;自动化程度高降低对操作者经验依赖;SilentScan改善患者体验
GE-MRI-004,SIGNA Voyager,MRI,SIGNA,1.5T智能磁共振成像系统，搭载第二代AIR技术平台,AIR Coil轻柔线圈;AIR Recon DL;AIR Touch智能定位;70cm孔径;高梯度性能,放射科;神经内科;骨科;心内科,NMPA三类医疗器械注册;FDA 510(k);CE认证,AIR Touch智能定位减少操作步骤;70cm孔径兼顾舒适性与图像质量;AI智能工作流提升效率;全面的临床应用覆盖
GE-MRI-005,SIGNA Hero,MRI,SIGNA,3.0T旗舰级磁共振成像系统，面向科研与高端临床应用,AIR Coil轻柔线圈;AIR Recon DL;超高梯度性能;多核成像能力;高级神经影像套件,放射科;神经内科;科研中心,NMPA三类医疗器械注册;FDA 510(k);CE认证,超高梯度性能支持前沿科研应用;多核成像拓展临床边界;业界顶级3.0T平台;科研与临床双重能力
GE-CT-001,Revolution Apex,CT,Revolution,旗舰级256排宽体探测器CT系统，支持全器官一次覆盖,256排宽体探测器;Clarity DL深度学习图像重建;全器官覆盖16cm;Smart Metal Forge金属伪影去除;CardioGraphe心脏一站式,放射科;心内科;急诊科;肿瘤科,NMPA三类医疗器械注册;FDA 510(k);CE认证,16cm宽体探测器实现全器官一次覆盖;Clarity DL提升图像质量同时降低剂量;心脏成像时间分辨率业界领先;AI辅助的全流程智能化
GE-CT-002,Revolution CT,CT,Revolution,高端256排CT系统，平衡临床性能与运营效率,256排探测器;Clarity DL深度学习重建;SnapShot Freeze心脏冻结成像;ASiR-V迭代重建;Smart Dose智能低剂量,放射科;心内科;急诊科,NMPA三类医疗器械注册;FDA 510(k);CE认证,SnapShot Freeze实现低心率不限的心脏成像;Smart Dose全流程低剂量管理;Clarity DL深度学习重建提升图像质量;高通量扫描能力
GE-CT-003,Revolution Maxima,CT,Revolution,128排高效CT系统，注重工作流效率与智能化,128排探测器;Clarity DL深度学习重建;Auto Positioning自动摆位;Smart Flow智能工作流;ASiR-V迭代重建,放射科;急诊科;体检中心,NMPA三类医疗器械注册;FDA 510(k);CE认证,Auto Positioning自动摆位减少操作时间;Smart Flow智能工作流提升通量;Clarity DL确保图像质量;适合高通量筛查场景
GE-CT-004,Revolution EVO,CT,Revolution,64排经济型CT系统，适合基层和中小型医疗机构,64排探测器;ASiR-V迭代重建;Smart mA自动管电流调节;一键式扫描协议;紧凑型机架设计,放射科;急诊科;基层医疗,NMPA三类医疗器械注册;FDA 510(k);CE认证,紧凑设计节省机房空间;低运营和维护成本;一键式操作降低使用门槛;ASiR-V低剂量成像
GE-CT-005,Optima CT540,CT,Optima,16排基础CT系统，满足常规临床检查需求,16排探测器;ASIR迭代重建;Smart mA管电流调制;Volara数字探测器;快速扫描模式,放射科;基层医疗;社区卫生中心,NMPA三类医疗器械注册;FDA 510(k);CE认证,入门级高性价比选择;可靠耐用适合高使用频率;操作简单培训成本低;满足基层常规CT检查需求
GE-US-001,LOGIQ E10s,Ultrasound,LOGIQ,旗舰级全身应用超声系统，搭载cSound+影像平台,cSound+数字影像平台;SRI穿透增强成像;Speed of Sound速度校正;AI自动测量;Contrast Enhanced超声造影,放射科;超声科;心内科;妇产科,NMPA二类医疗器械注册;FDA 510(k);CE认证,cSound+平台提供卓越的穿透力与分辨率;AI自动测量提升效率;全面的临床应用覆盖;超声造影功能拓展诊断能力
GE-US-002,LOGIQ P9,Ultrasound,LOGIQ,高端便携式超声系统，适合多场景临床应用,XDclear探头技术;自动图像优化;B-Flow血流成像;弹性成像;便携设计,超声科;急诊科;床旁检查,NMPA二类医疗器械注册;FDA 510(k);CE认证,高端便携设计灵活部署;XDclear探头优异的图像质量;B-Flow无角度依赖的血流成像;适合多科室共享使用
GE-US-003,LOGIQ Fortis,Ultrasound,LOGIQ,新一代高端全身超声系统，面向精准诊断,cSound+影像平台;AI辅助诊断;高密度探头技术;Elastography弹性成像;实时4D成像,超声科;放射科;妇产科,NMPA二类医疗器械注册;FDA 510(k);CE认证,AI辅助提升诊断准确性;高密度探头技术细节分辨;实时4D成像拓展临床应用;智能工作流减少操作步骤
GE-US-004,Voluson E10,Ultrasound,Voluson,旗舰级妇产超声系统，专注女性健康影像,HDlive光照渲染3D/4D;RadiantFlow高清血流成像;SonoCNS中枢神经自动评估;电子矩阵探头;AI自动生物测量,妇产科;生殖医学中心,NMPA二类医疗器械注册;FDA 510(k);CE认证,HDlive提供照片级胎儿3D/4D图像;SonoCNS中枢神经自动评估领先业界;RadiantFlow卓越的低速血流显示;妇产专科超声金标准
GE-US-005,Voluson SWIFT,Ultrasound,Voluson,智能便携妇产超声系统，适合产前筛查,SonoLyst AI智能导航;自动标准切面识别;HDlive渲染成像;便携轻巧设计;触屏操作界面,妇产科;基层医疗;社区卫生中心,NMPA二类医疗器械注册;FDA 510(k);CE认证,SonoLyst AI自动引导标准切面;便携设计适合基层筛查;触屏操作降低使用门槛;AI辅助减少操作者间差异
GE-US-006,Voluson S10,Ultrasound,Voluson,高端妇产超声系统，平衡性能与便捷性,HDlive渲染;SonoRender导航;CrossXBeam空间复合成像;电子凸阵探头;AI自动测量,妇产科;生殖医学中心,NMPA二类医疗器械注册;FDA 510(k);CE认证,HDlive高质量3D/4D渲染;紧凑设计节省空间;全面的妇产科临床功能;性价比优异的高端选择
GE-US-007,Vivid E95,Ultrasound,Vivid,旗舰级心脏超声系统，面向高端心血管诊断,4Dc心脏探头;AFI自动心功能分析;2D Strain应变分析;TVI组织速度成像;cSound+心脏影像平台,心内科;超声科;心血管外科,NMPA二类医疗器械注册;FDA 510(k);CE认证,4Dc探头实现真正实时4D心脏成像;AFI自动化心功能评估;业界最全面的应变分析套件;cSound+卓越的心脏图像质量
GE-US-008,Vivid S70N,Ultrasound,Vivid,高端便携心脏超声系统，适合多场景心脏评估,4V-D心脏探头;AFI自动心功能;2D Strain分析;便携轻量设计;触屏操作,心内科;急诊科;心脏重症监护,NMPA二类医疗器械注册;FDA 510(k);CE认证,便携设计适合床旁心脏评估;与Vivid E95同源的心脏分析工具;AFI快速心功能评估;轻量化设计灵活移动
GE-US-009,Vivid T9,Ultrasound,Vivid,经济型心脏超声系统，满足基础心脏检查需求,2D Strain分析;自动EF计算;Tissue Tracking;紧凑设计;简化工作流,心内科;基层医疗;体检中心,NMPA二类医疗器械注册;FDA 510(k);CE认证,入门级心脏超声高性价比选择;2D Strain基础应变分析;自动化功能降低操作难度;适合基层心脏筛查
GE-US-010,VENUE Go,Ultrasound,VENUE,超便携即时超声系统(POCUS)，面向急诊和重症场景,AI自动心功能评估;自动B-line检测;针尖增强可视化;军规级耐用设计;快速启动,急诊科;重症医学科;麻醉科;院前急救,NMPA二类医疗器械注册;FDA 510(k);CE认证,AI自动评估加速急诊决策;军规耐用适合严苛环境;快速启动即时可用;针尖增强引导精准穿刺
GE-US-011,VENUE Fit,Ultrasound,VENUE,掌上超声系统，极致便携的即时诊断工具,手持式设计;AI辅助诊断;无线探头连接;移动设备兼容;云端数据管理,急诊科;全科;院前急救;基层医疗,NMPA二类医疗器械注册;FDA 510(k);CE认证,掌上设计随身携带;AI辅助非专科医生使用;无线连接灵活部署;极低使用成本适合普及推广
